Filename	Reason(s)
AB417661	1_NIR max (11217.0000) is an outlier (IQR method)
AB440131	DEM min is suspiciously low: -32768.00; 1_NIR max (13175.0000) is an outlier (IQR method); 6_DEM min (-32768.0000) is an outlier (IQR method); 6_DEM max (-32768.0000) is an outlier (IQR method)
AB602248	5_CloudMask max (0.0000) is an outlier (IQR method)
AB841632	0_SWIR min (5291.0000) is an outlier (IQR method); 0_SWIR max (58810.0000) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR max (65454.0000) is an outlier (IQR method); 1_NIR std (9677.7451) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red max (65454.0000) is an outlier (IQR method); 2_Red std (7484.1177) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green max (65454.0000) is an outlier (IQR method); 3_Green std (7061.3047) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue max (65454.0000) is an outlier (IQR method); 4_Blue std (7088.1865) is an outlier (IQR method)
AC930244	0_SWIR min (-32768.0000) is an outlier (IQR method); 0_SWIR std (12652.1172) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR std (12726.7295) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red std (12651.7139) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green std (12735.4326) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue std (12765.1943) is an outlier (IQR method)
AD125151	DEM min is suspiciously low: -32768.00; 6_DEM min (-32768.0000) is an outlier (IQR method); 6_DEM max (-32768.0000) is an outlier (IQR method)
AD154970	DEM min is suspiciously low: -32768.00; 6_DEM min (-32768.0000) is an outlier (IQR method); 6_DEM std (188.7274) is an outlier (IQR method)
AD274174	DEM min is suspiciously low: -32768.00; 6_DEM min (-32768.0000) is an outlier (IQR method); 6_DEM std (431.0736) is an outlier (IQR method)
AD674134	1_NIR max (65454.0000) is an outlier (IQR method); 1_NIR std (9415.2500) is an outlier (IQR method); 2_Red max (65454.0000) is an outlier (IQR method); 2_Red std (8184.0610) is an outlier (IQR method); 3_Green max (65454.0000) is an outlier (IQR method); 3_Green std (9209.8535) is an outlier (IQR method); 4_Blue max (51132.0000) is an outlier (IQR method); 4_Blue std (5409.3618) is an outlier (IQR method)
AD738622	0_SWIR min (-32768.0000) is an outlier (IQR method); 0_SWIR max (65535.0000) is an outlier (IQR method); 0_SWIR std (18243.7051) is an outlier (IQR method); 1_NIR min (-32768.0000) is an outlier (IQR method); 1_NIR max (65535.0000) is an outlier (IQR method); 1_NIR std (18512.5645) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 2_Red max (65535.0000) is an outlier (IQR method); 2_Red std (17515.9004) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 3_Green std (17566.9297) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method); 4_Blue max (65535.0000) is an outlier (IQR method); 4_Blue std (17909.9121) is an outlier (IQR method)
AD761675	1_NIR min (1635.0000) is an outlier (IQR method); 1_NIR max (37554.0000) is an outlier (IQR method); 2_Red min (-32768.0000) is an outlier (IQR method); 3_Green min (-32768.0000) is an outlier (IQR method); 4_Blue min (-32768.0000) is an outlier (IQR method)
